Type-TH,Type-EN,SubType-TH,SubType-EN,Attraction-name TH,Attraction-name EN,Organization-Unit-TH,Organization-Unit-EN,Latitude,Longtiude,Open-Houre,Image-URL,Facility,Contact,Province,District,Subdistrict,,,,,,,
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์วังน้ำเย็น ,Wang Nam Yen Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,13.497,102.0150,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),http://www.dnp.go.th/MFCD3/oganization/%E0%B8%AA%E0%B8%A7%E0%B8%99%E0%B8%9E%E0%B8%A4%E0%B8%81%E0%B8%A9%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C100%E0%B8%9B%E0%B8%B5.pdf, -บ้านพัก ห้องประชุม,089-811-031,สระแก้ว,วังน้ำเย็น,ทุ่งมหาเจริญ,,,,,,,
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์พุแค ,Phu Khae Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,14.6712,100.8846,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),http://saraburi.dnp.go.th/sever/saraburisite/webpage/pukae.htm, -บ้านพัก ห้องประชุม,036-347-457,สระบุรี,เฉลิมพระเกียรติ,พุแค,,,,,,,
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์บ้านเพ ,Ban Phe Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,12.6335,101.4586,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),, -บ้านพัก ห้องประชุม,038-653-022,ระยอง,เมืองระยอง,แกลง,,,,,,,
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์เขาหินซ้อน,Khao Hin Son Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,13.7526,101.5064,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),http://www.khaohinsonbg.org/, -บ้านพัก ห้องประชุม,"038-599-113, 038-554-920",ฉะเชิงเทรา,พนมสารคาม,เขาหินซ้อน,,,,,,,
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์เขาช่อง ,Khao Chong Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,7.5577,99.7761,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),, -บ้านพัก ห้องประชุม,075-573-521,ตรัง,นาโยง,นาโยง,,,,,,,
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์ทุ่งค่าย ,Thung Khai Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,7.4703,99.6401,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),http://tkbg.circlecamp.com/index.php?page=home, -บ้านพัก ห้องประชุม,075-280-166,ตรัง,ย่านตาขาว,ย่านตาขาว,,,,,,,
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์พนางตุง ,Phanang Tung Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,7.7335,100.1511,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),, -,074-651-187,พัทลุง,ควนขนุน,พนางตุง,,,,,,,
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์ชายแดนภาคใต้,Southern Boundary Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,6.649,101.8659,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),http://pattani.dnp.go.th/base/ap_pss.html, -,073-336-290-3,นราธิวาส,เมือง,กะลุวอ,,,,,,,
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์ดงฟ้าห่วน ,Dong Fa Huan Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,15.3053,104.7988,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),, -บ้านพัก ห้องประชุม,088-595-1252,อุบลราชธานี,เมือง,ขามใหญ่,,,,,,,
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์สกุโณทยาน ,Sakunothayan Botanical Garden ,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,16.836,100.5347,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),, -,085-731-1200,พิษณุโลก,วังทอง,วังนกแอ่น,,,,,,,
สวนพฤกษศาสตร์วรรณคดี,Botanical Garden for Plants in Thai Literary, -, -,สวนพฤกษศาสตร์วรรณคดีบ้านจอมบึง,Ban Chom Bueng Botanical Garden for Plants in Thai Literary,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,13.610,99.671,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),http://www.goratchaburi.com/index.asp?contentID=10000004&title=%CA%C7%B9%BE%C4%A1%C9%C8%D2%CA%B5%C3%EC%C7%C3%C3%B3%A4%B4%D5%C0%D2%A4%A1%C5%D2%A7&getarticle=299&keyword=&catid=5, -บ้านพัก ห้องประชุม,081-866-9338,ราชบุรี,จอมบึง,ปากช่อง,,,,,,,
สวนพฤกษศาสตร์วรรณคดี,Botanical Garden for Plants in Thai Literary, -, -,สวนพฤกษศาสตร์วรรณคดีควนเขาวัง,Kuankhaowang Botanical Garden for Plants in Thai Literary,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,7.0223,100.2915,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),, -บ้านพัก ห้องประชุม,074-323-306,สงขลา,หาดใหญ่,ฉลุง,,,,,,,
สวนพฤกษศาสตร์วรรณคดี,Botanical Garden for Plants in Thai Literary, -, -,สวนพฤกษศาสตร์วรรณคดีดงมะอี่ ,Dong Ma Ei Botanical Garden for Plants in Thai Literary,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,16.395,104.3100,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),, -,043-343-411-2,ร้อยเอ็ด,หนองพอก,บึงงาม,,,,,,,
สวนพฤกษศาสตร์วรรณคดี,Botanical Garden for Plants in Thai Literary, -, -,สวนพฤกษศาสตร์วรรณคดีแม่เหี๊ยะ ,Mae Hia Botanical Garden for Plants in Thai Literary,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,18.743,98.923,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),, -,053-276-100,เชียงใหม่,หางดง,หนองควาย,,,,,,,
สวนรวมพรรณไม้ป่า,Garden for Wild Plant Collections, -, -,สวนรวมพรรณไม้ป่า 60 พรรษา มหาราชินี ภาคกลาง ,Her Majesty the Queen's 60th Birthday Anniversary Garden for Wild Plant Collections Central,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,13.606,99.6630,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),, -,053-276-100,ราชบุรี,เมือง,หินกอง,,,,,,,
สวนรวมพรรณไม้ป่า,Garden for Wild Plant Collections, -, -,สวนรวมพรรณไม้ป่า 60 พรรษา มหาราชินี ภาคใต้,Her Majesty the Queen's 60th Birthday Anniversary Garden for Wild Plant Collections Peninasular,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,6.1218,101.925,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),http://pattani.dnp.go.th/base/ap_60nara.html, -,081-698-0562,นราธิวาส,สุไหงปาดี,สุไหงปาดี,,,,,,,
สวนรวมพรรณไม้ป่า,Garden for Wild Plant Collections, -, -,สวนรวมพรรณไม้ป่า 60 พรรษา มหาราชินี ภาคตะวันออกเฉียงเหนือ ,Her Majesty the Queen's 60th Birthday Anniversary Garden for Wild Plant Collections Northeastern,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,17.161,102.7006,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),, -บ้านพัก ห้องประชุม,042-221-725 ต่อ 400,อุดรธานี,หนองแสง,ทับกุง,,,,,,,
สวนรวมพรรณไม้ป่า,Garden for Wild Plant Collections, -, -,สวนรวมพรรณไม้ป่า 60 พรรษา มหาราชินี ภาคเหนือ,Her Majesty the Queen's 60th Birthday Anniversary Garden for Wild Plant Collections Northern,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,18.741,98.912,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.),, -,053-276-100 ต่อ 33,เชียงใหม่,หางดง,หนองควาย,,,,,,,
สวนรุกขชาติ,Arboretum,สวนรุกขชาติเขาฉกรรจ์,Khao Cha Kun Arboretum,สวนรุกขชาติเขาฉกรรจ์,Khao Cha Kun Arboretum,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Reseach Office,13.660666,102.081034,08.00 - 16.00 น.,,ซุ้มนั่งพักผ่อน 15 ซุ้ม และห้องน้ำห้องสุขา 4 หลัง,อ.เขาฉกรรจ์ จ.สระแก้ว 27000  E-mail : p_potkan@hotmail.com Tel: 083-1125137,สระแก้ว,เขาฉกรรจ์,เขาฉกรรจ์,,,,,,,
สวนรุกขชาติ,Arboretum,สวนรุกขชาติมวกเหล็ก,Muak Lek  Arboretum,น้ำตกมวกเหล็ก,Muak Lek Waterfall,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Reseach Office,14.64401,101.20544,08.00 - 17.00 น.,,บ้านพักรับรอง 2 และ 4 ห้องนอน (อุปกรณ์เฟอร์นิเจอร์ ไม่มี เช่น แอร์),172 ต. มิตรภาพ อ. มวกเหล็ก จ. จังหวัดสระบุรี 18180 E-mail :muaklek-waterfall@hotmaill.com/oad-pathum@hotmail.com Fax: 036344100,สระบุรี,มวกเหล็ก,มิตรภาพ,,,,,,,
สวนรุกขชาติ,Arboretum,สวนรุกขชาติวังก้านเหลือง,Wang Kan Lueang Arboretum,น้ำตกวังก้านเหลือง,Wang Kan Lueang Waterfall,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Reseach Office,15.118893,101.112381,ทุกวัน 08.00 - 17.30 น.,,สำนักงาน ห้องน้ำ ห้องสุขา ศาลาพักผ่อน อาคารเอกนกประสงค์ ลานจอดรถ ทางเดิน ฯลฯ,ต.ท่าดินดำ อ.ชัยบาดาล จ.ลพบุรี 15130 E-mail : kunmho@yahoo.co.th Tel : 0839630305,ลพบุรี,ชัยบาดาล,ท่าดินดำ,,,,,,,
สวนรุกขชาติ,Arboretum,สวนรุกขชาติคูเมือง,Ku Mueang Arboretum,เมืองโบราณบ้านคูเมือง,Ban Ku Mueang Arboretum City,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Reseach Office,14.993168,100.278568,08.00 - 17.30 น.,,สำนักงานชั่วคราว ห้องสุขา ศาลาพักผ่อน,ต. ห้วยชัน อ. อินทร์บุรี จ. สิงห์บุรี  16110 E-mail :  sanya-jundat@hotmail.com/sanyachatdat@hotmail.com,สิงห์บุรี,อินทร์บุรี,ห้วยขัน,,,,,,,
