ID,INFO
V2742,"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident: while work for income"
V2743,"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident: in oth type work"
V2744,"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident: while resting..."
V2748,"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident: in oth spec activity"
V2749,"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident: during unspec activity"
V275,"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident"
V2750,"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident: in sport activity"
V2751,"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident: in leisure activity"
V2752,"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident: while work for income"
V2753,"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident: in oth type work"
V2754,"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident: while resting..."
V2758,"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident: in oth spec activity"
V2759,"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident: during unspec activity"
V279,"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident"
V2790,"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident: in sport activity"
V2791,"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident: in leisure activity"
V2792,"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident: while work for income"
V2793,"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident: in oth type work"
V2794,"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident: while resting..."
V2798,"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident: in oth spec activity"
V2799,"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident: during unspec activit"
V28,Motorcycle rider injured in noncollision transport accident
V280,"Motorcycle rider injured in noncollision transport accident, driver injured in nontraffic acciddent"
V2800,"Motorcycle rider injured in noncollision transport accident, driver injured in nontraffic acciddent: in sport activity"
V2801,"Motorcycle rider injured in noncollision transport accident, driver injured in nontraffic acciddent: in leisure activity"
V2802,"Motorcycle rider injured in noncollision transport accident, driver injured in nontraffic acciddent: while work for income"
V2803,"Motorcycle rider injured in noncollision transport accident, driver injured in nontraffic acciddent: in oth type work"
V2804,"Motorcycle rider injured in noncollision transport accident, driver injured in nontraffic acciddent: while resting..."
V2808,"Motorcycle rider injured in noncollision transport accident, driver injured in nontraffic acciddent: in oth spec activity"
V2809,"Motorcycle rider injured in noncollision transport accident, driver injured in nontraffic acciddent: during unspec activity"
V281,"Motorcycle rider injured in noncollision transport accident, passenger injured in nontraffic accident"
V2810,"Motorcycle rider injured in noncollision transport accident, passenger injured in nontraffic accident: in sport activity"
V2811,"Motorcycle rider injured in noncollision transport accident, passenger injured in nontraffic accident: in leisure activity"
V2812,"Motorcycle rider injured in noncollision transport accident, passenger injured in nontraffic accident: while work for income"
V2813,"Motorcycle rider injured in noncollision transport accident, passenger injured in nontraffic accident: in oth type work"
V2814,"Motorcycle rider injured in noncollision transport accident, passenger injured in nontraffic accident: while resting..."
V2818,"Motorcycle rider injured in noncollision transport accident, passenger injured in nontraffic accident: in oth spec activity"
V2819,"Motorcycle rider injured in noncollision transport accident, passenger injured in nontraffic accident: during unspec activity"
V282,"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in nontraffic accident"
V2820,"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in nontraffic accident: in sport activity"
V2821,"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in nontraffic accident: in leisure activity"
V2822,"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in nontraffic accident: while work for income"
V2823,"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in nontraffic accident: in oth type work"
V2824,"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in nontraffic accident: while resting..."
