ลำดับที่,ชื่อแหล่งธรรมชาติ,ประเภทที่,ประเภทแหล่งธรรมชาติ,ตำบล,อำเภอ,จังหวัด,ภาค,ละติจูด,ลองจิจูด,ความสำคัญ,ลักษณะของพื้นที่
1,ทุ่งบัวตอง (ดอยแม่อูคอ),3,ภูเขา,แม่อูคอ,ขุนยวม,แม่ฮ่องสอน,เหนือ,18.89472100,98.091094 ,แหล่งท่องเที่ยวสำคัญของจังหวัด,"ทุ่งบัวตอง ดอยแม่อูคอ มีลักษณะของภูเขาสลับซับซ้อนคล้ายคลื่นทะเล มีจุดเด่นที่น่าสนใจ คือ ในทุกช่วงฤดูหนาวประมาณกลางเดือนพฤศจิกายน - เดือนธันวาคม จะมีดอกบัวตองซึ่งเป็นดอกไม้สีเหลืองนับล้าน ชูช่อบานสะพรั่งเต็มพื้นที่ภูเขา กว่า 1,000 ไร่ บนความสูงประมาณ 1,600 เมตรจากระดับน้ำทะเล"
2,ดอยกองมู,3,ภูเขา,จองคำ,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,เหนือ,19.30005500,97.96056700,เป็นที่ประดิษฐานพระธาตุดอยกองมู,ดอยกองมู เป็นดอยที่สามารถมองเห็นทัศนียภาพของเมืองจากมุมสูงได้อย่างสวยงาม เป็นที่ประดิษฐานพระธาตุดอยกองมู และยังเป็นที่ตั้งของวัดพระธาตุดอยกองมูซึ่งประดิษฐานพระธาตุอันเป็นปูชนียสถานคู่บ้านคู่เมืองของจังหวัดแม่ฮ่องสอน
3,ถ้ำน้ำลอด,4,ถ้ำ,ถ้ำลอด,ปางมะผ้า,แม่ฮ่องสอน,เหนือ,19.56805600,98.27972200,เป็นแหล่งสำคัญทางประวัติศาสตร์และโบราณคดี,ถ้ำน้ำลอด เป็นถ้ำที่มีขนาดใหญ่ กว้างประมาณ 20 เมตร สูงประมาณ 50 เมตร ยาวประมาณ 1 กิโลเมตร ภายในถ้ำมีน้ำจากลำห้วย “น้ำลาง” ไหลผ่านตลอดเป็นทางกว้างลอดภูเขาไปทะลุออกกีกด้านหนึ่ง จึงเรียกว่า “ถ้ำน้ำลอด” ภายในถ้ำพบหินงอกหินย้อยสวยงาม
4,น้ำตกผาเสื่อ,5,น้ำตก,ห้วยผา,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,เหนือ,19.49090400,97.95787100,แหล่งท่องเที่ยวภายในท้องถิ่น,น้ำตกที่เกิดจากลำน้ำแม่สะงาในพม่าไหลผ่านโขดหินใหญ่ มี 6 ชั้น สองข้างน้ำตกมีแผ่นหินลักษณะคล้ายเสื่อปูลาดอยู่เป็นจำนวนมาก บริเวณโดยรอบน้ำตกเป็นป่าทึบที่มีความชุ่มชื้น
5,ถ้ำปลา,4,ถ้ำ,ห้วยผา,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,เหนือ,19.42668100,97.990252 ,แหล่งท่องเที่ยวสำคัญของจังหวัด,เป็นถ้ำที่ตั้งอยู่บริเวณเชิงเขาหินปูน มีลักษณะเป็นแอ่งน้ำขนาดใหญ่ สภาพดีและสวยงาม  ภายในแอ่งน้ำมีน้ำไหลเวียนออกจากโพรงภูเขาอยู่ตลอดเวลา และมีปลาอาศัยเป็นจำนวนมาก เรียกว่า ปลามุง หรือ ปลาคัง หรือปลาพลวง
6,น้ำตกแม่สุรินทร์,5,น้ำตก,แม่อูคอ,ขุนยวม,แม่ฮ่องสอน,เหนือ,18.94222200,98.07111100,เป็นน้ำตกที่สูงที่สุดในภาคเหนือ,น้ำตกชั้นเดียวที่ใหญ่และสวยงามมาก ลักษณะของสายน้ำจะไหลจาก หน้าผาสูงดิ่งลงสู่หุบเบื้องล่าง ประมาณ 200-300 เมตร น้ำตกอยู่ระหว่างหุบเขา
7,ถ้ำเชียงดาว,4,ถ้ำ,เชียงดาว,เชียงดาว,เชียงใหม่,เหนือ,19.39467500,98.92898800,แหล่งท่องเที่ยวสำคัญของ อ.เชียงดาว,"เป็นถ้ำขนาดใหญ่บนดอยหลวงเชียงดาว ยอดเขาสูงประมาณ 2,180 เมตร เป็นสัญลักษณ์ประจำท้องถิ่นของอำเภอเชียงดาว ภายในถ้ำเชียงดาว มีหินงอกหินย้อยขนาดใหญ่และสวยงาม เป็นจำนวนมาก แต่มีสีขุ่นเนื่องจากเป็นหินปูนเนื้อโคลน"
8,ถ้ำเมืองออน,4,ถ้ำ,บ้านสหกรณ์,แม่ออน,เชียงใหม่,เหนือ,18.79627300,99.23486200,แหล่งท่องเที่ยวสำคัญของจังหวัด,เป็นพุทธสถานที่สำคัญของชาวไทยและชาวไทยล้านนา และสถานที่ท่องเที่ยวที่สำคัญของจังหวัดเชียงใหม่
9,น้ำตกห้วยแก้ว,5,น้ำตก,ช้างเผือก และ สุเทพ,เมืองเชียงใหม่,เชียงใหม่,เหนือ,18.81177600,98.94453700,แหล่งท่องเที่ยวสำคัญของจังหวัด,น้ำตกห้วยแก้วเป็นน้ำตกเล็ก ๆ สูงประมาณ 10 เมตร ตั้งอยู่ในเขตอุทยานแห่งชาติดอยสุเทพ-ปุย เป็นสถานที่ที่ยังคงความเป็นธรรมชาติที่สมบูรณ์ท่ามกลางเมืองใหญ่
10,น้ำตกแม่ยะ,5,น้ำตก,บ้านหลวง,จอมทอง,เชียงใหม่,เหนือ,18.43993600,98.59800600,แหล่งท่องเที่ยวสำคัญของจังหวัด,เป็นน้ำตกขนาดใหญ่และสูงที่สุดในบรรดาน้ำตกในอุทยานแห่งชาติดอยอินทนนท์ น้ำตกจากหน้าผาสูงชันไหลลงมา มีประมาณ 30 ชั้น รวมความสูงประมาณ 280 เมตร ในช่วงฤดูฝน สายน้ำตกจะแผ่กว้างถึง 100 เมตร เหมือนกับม่านน้ำ แล้วไหลลงไปรวมกันที่แอ่งน้ำเบื้องล่าง และบางช่วงของหน้าผาเป็นชะง่อนหิน
11,น้ำตกแม่กลาง,5,น้ำตก,บ้านหลวง,จอมทอง,เชียงใหม่,เหนือ,18.49527800,98.66722200,ทัศนียภาพสวยงามเป็นที่พักผ่อนหย่อนใจ,เป็นน้ำตกขนาดใหญ่ที่มีแอ่งน้ำขนาดใหญ่ให้ลงเล่นน้ำหลายแห่ง มีความสวยงามตามธรรมชาติ รอบ ๆ บริเวณร่มรื่นน่าพักผ่อน แต่ในช่วงฤดูฝนกระแสน้ำไหลแรงอาจเป็นอัตรายต่อการเล่นน้ำได้
12,น้ำตกแม่สา,5,น้ำตก,แม่แรม,แม่ริม,เชียงใหม่,เหนือ,18.90653600,98.89716500,แหล่งท่องเที่ยวสำคัญของจังหวัด,เป็นน้ำตกขนาดใหญ่ แบ่งชั้นไปตามเชิงเขาถึง 10 ชั้น ปกคลุมด้วยต้นไม้ใหญ่ทั่วบริเวณ ทำให้สภาพอากาศร่มรื่นเย็นสบายตลอดปี
13,โป่งเดือดป่าแป๋,6,โป่งน้ำพุร้อน,ป่าแป๋,แม่แตง,เชียงใหม่,เหนือ,19.241667 ,98.68416700,แหล่งท่องเที่ยวธรรมชาติศึกษาวิทยาที่สำคัญ,เป็นน้ำพุร้อนที่ใหญ่และสูงที่สุดในประเทศไทย และเป็นแหล่งท่องเที่ยวศึกษาธรรมชาติธรณีที่สำคัญแห่งหนึ่ง
